,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
26,1,2024-06-20,11:00:30,11:51:30,16.92,,27,2024-06-20 11:00:30,2024-06-20 11:51:30,1.3514,1.0981810951054742,104.50534285714286,55.11930722915111,0.1531091867476419,0.2317950700001042,27
27,1,2024-06-20,12:03:00,12:51:00,43.49,,28,2024-06-20 12:03:00,2024-06-20 12:51:00,2.267808333333334,0.7398548721626054,89.64070833333332,30.78779545283645,0.0855216540356568,0.3262461693632718,28
28,1,2024-06-20,13:07:00,13:53:05,5.63,,29,2024-06-20 13:07:00,2024-06-20 13:53:05,4.11848275862069,2.736354177951407,140.26893103448276,59.50689259692966,0.1652969238803601,0.4300968289329102,29
29,1,2024-06-20,14:08:00,14:56:00,20.0,duplicate 2,30,2024-06-20 14:08:00,2024-06-20 14:56:00,2.691326530612245,2.2128765346993786,102.09977551020408,46.36711183330859,0.1287975328703016,0.3635737617887868,30
30,1,2024-06-20,15:14:10,16:30:00,101.8,satellite,31,2024-06-20 15:14:10,2024-06-20 16:30:00,4.710058823529412,1.9003788608108527,143.25479411764707,48.80033699798985,0.1355564916610829,0.4329621243634361,31
31,1,2024-06-20,16:18:00,17:05:30,13.0,,32,2024-06-20 16:18:00,2024-06-20 17:05:30,5.388210526315789,2.520401964831698,158.28763157894736,45.239911000815646,0.1256664194467101,0.492281318602347,32
32,1,2024-06-21,09:00:15,09:47:30,1.1,,33,2024-06-21 09:00:15,2024-06-21 09:47:30,3.491664383561644,1.2203124375361745,277.2558287671233,18.55446385667,0.0515401773796388,0.6294135766929797,33
33,1,2024-06-21,10:02:45,10:49:00,27.84,,34,2024-06-21 10:02:45,2024-06-21 10:49:00,4.420659722222222,1.2630254118954332,261.54203472222224,14.806562383877743,0.0411293399552159,0.7720580314119696,34
34,1,2024-06-21,11:04:00,11:56:30,5.38,,35,2024-06-21 11:04:00,2024-06-21 11:56:30,3.617985815602837,1.120452580661784,261.3182340425532,18.631494996547417,0.0517541527681872,0.5482406271252751,35
35,1,2024-06-21,12:10:00,13:04:00,0.0,satellite,36,2024-06-21 12:10:00,2024-06-21 13:04:00,4.858614864864865,1.835909507957891,269.1702837837838,21.97747153381276,0.0610485320383687,0.7320763922322628,36
36,1,2024-06-21,13:13:30,14:01:20,40.63,,37,2024-06-21 13:13:30,2024-06-21 14:01:20,4.705443609022557,1.1186007047059707,261.39533082706765,14.138877560798283,0.0392746598911063,0.8461833471652533,37
37,1,2024-06-21,14:12:00,15:05:00,0.01,,38,2024-06-21 14:12:00,2024-06-21 15:05:00,3.762701863354038,1.0986444081498827,269.5151055900621,24.58657556508549,0.0682960432363485,0.7436012623489312,38
38,1,2024-06-21,15:15:20,16:06:00,15.15,,39,2024-06-21 15:15:20,2024-06-21 16:06:00,5.625929936305732,1.3815974408811544,269.3876242038217,14.32608178944306,0.0397946716373418,0.9399358653591262,39
39,1,2024-06-21,16:29:30,17:19:40,3.95,,40,2024-06-21 16:29:30,2024-06-21 17:19:40,4.643756410256411,1.1632506199428192,281.31352564102565,15.933286701567466,0.0442591297265762,0.8922031294054387,40
40,2,2024-06-24,11:08:45,11:55:00,0.59,,41,2024-06-24 11:08:45,2024-06-24 11:55:00,2.3708581560283686,0.8241538481684479,146.06929078014187,39.224809143484585,0.108957803176346,0.4827654836751346,1
41,2,2024-06-24,12:00:00,12:45:00,136.6,satellite,42,2024-06-24 12:00:00,2024-06-24 12:45:00,2.418187050359712,0.8952530981159262,122.19275539568346,43.157703441227056,0.119882509558964,0.5259391429298168,2
42,2,2024-06-24,13:02:00,13:45:00,24.83,,43,2024-06-24 13:02:00,2024-06-24 13:45:00,2.6951044776119404,1.0977308945374116,94.59223134328356,38.81467753270214,0.1078185487019503,0.5975252123485919,3
43,2,2024-06-24,14:01:25,14:48:30,0.89,,44,2024-06-24 14:01:25,2024-06-24 14:48:30,3.169401360544218,1.0509779898107423,94.17029931972787,28.067623860017783,0.0779656218333827,0.6556719335078206,4
44,2,2024-06-24,15:01:15,15:53:30,46.2,,45,2024-06-24 15:01:15,2024-06-24 15:53:30,3.56424074074074,1.0724718809706573,76.23150617283952,27.38771173526238,0.0760769770423955,0.6384485255238533,5
45,2,2024-06-24,16:05:15,16:51:00,19.23,duplicate 1,46,2024-06-24 16:05:15,2024-06-24 16:51:00,2.783191176470589,1.1440250224840876,81.27007352941177,32.48962635572816,0.0902489620992448,0.4959417349544545,6
46,2,2024-06-24,17:00:15,17:49:00,32.18,,47,2024-06-24 17:00:15,2024-06-24 17:49:00,3.088168918918919,1.05444303503292,74.6871418918919,35.95521520371627,0.0998755977881007,0.6162800790232543,7
47,2,2024-06-25,09:02:00,09:48:00,0.77,,48,2024-06-25 09:02:00,2024-06-25 09:48:00,1.4445323741007197,0.3970631553124032,141.33770503597125,29.12427458237153,0.0809007627288098,0.2459792881636526,8
48,2,2024-06-25,10:03:00,10:49:00,1.95,,49,2024-06-25 10:03:00,2024-06-25 10:49:00,1.663948905109489,0.6520497130223039,132.96164963503648,45.641237577582565,0.1267812154932849,0.2798464917487778,9
49,2,2024-06-25,11:05:00,11:51:00,8.2,,50,2024-06-25 11:05:00,2024-06-25 11:51:00,2.522943661971831,0.7635531515508481,135.32766197183096,27.3455825551692,0.0759599515421366,0.4025508803328517,10
50,2,2024-06-25,12:05:00,12:51:15,32.1,,51,2024-06-25 12:05:00,2024-06-25 12:51:15,3.353020547945205,0.8853950099886497,93.24657534246576,31.51727933812302,0.0875479981614528,0.5124163743124495,11
51,2,2024-06-25,13:35:00,14:21:00,50.42,,52,2024-06-25 13:35:00,2024-06-25 14:21:00,3.828572413793104,0.9421291913122134,78.46044827586206,30.168518250018643,0.0838014395833851,0.5589736919054857,12
52,2,2024-06-25,14:35:00,15:22:00,21.7,,53,2024-06-25 14:35:00,2024-06-25 15:22:00,2.835292517006802,0.9307801795348104,82.38674829931972,29.01436087958685,0.0805954468877412,0.5258531691392613,13
53,2,2024-06-25,15:33:00,16:19:00,54.95,,54,2024-06-25 15:33:00,2024-06-25 16:19:00,3.350978723404255,0.9528363108416674,71.71133333333333,24.85662223762745,0.0690461728822984,0.5771784112243751,14
