,week,release_id,release_date,zero_release,non_zero_release,operator_kept,stanford_kept,strict_qc_kept,pass_all_qc,fail_all_qc,release_rate_kgh,operator_quantification,operator_lower,operator_upper,operator_detected,qc_summary,windspeed_20m_avg,windspeed_20m_std,winddir_20m_avg,winddir_20m_std,winddir_20m_cv,operator_windspeed,true_positive,false_positive,true_negative,false_negative,qc_flag
26,3,27,2024-09-12,False,True,True,True,True,True,True,4.14,10.143,6.269,14.017,True,pass_all,1.701191780821918,0.4315233212232746,83.09686301369862,50.1534756585598,0.1393152101626661,,True,False,False,False,
27,3,28,2024-09-12,False,True,True,True,True,True,True,37.1,100.528,73.079,127.977,True,pass_all,1.897207142857143,0.6362184310713919,78.21119999999999,32.80087256211386,0.0911135348947607,,True,False,False,False,
28,3,29,2024-09-12,False,True,True,True,True,True,True,50.88,119.056,70.867,167.245,True,pass_all,2.263678082191781,0.837338681817591,208.0859383561644,89.9378071789459,0.2498272421637386,,True,False,False,False,
29,3,30,2024-09-12,False,True,True,True,True,True,True,1.3,2.706,0.999,4.413,True,pass_all,1.9737536231884056,0.5893713102509941,272.62128985507246,20.699261078169314,0.0574979474393592,,True,False,False,False,
30,3,31,2024-09-12,False,True,True,True,True,True,True,210.0,236.2,173.1,299.3,True,pass_all,2.543455172413793,0.4838885457547467,234.87432413793104,24.503242097077315,0.0680645613807703,,True,False,False,False,
31,3,32,2024-09-12,False,True,True,True,True,True,True,26.85,39.641,22.419,56.863,True,pass_all,2.3474333333333344,0.7024192940496751,239.22128,29.4684177089735,0.0818567158582597,,True,False,False,False,
32,3,33,2024-09-13,True,False,True,True,True,True,True,0.0,0.0,0.0,0.0,False,pass_all,0.8176456692913386,0.3477769429170756,191.0142992125984,57.1608210722064,0.1587800585339066,,False,False,True,False,
33,3,34,2024-09-13,False,True,True,True,True,True,True,3.4,7.996,5.032,10.96,True,pass_all,0.9989448818897638,0.4437752417517803,228.13681102362204,75.60026116137827,0.2100007254482729,,True,False,False,False,
34,3,35,2024-09-13,False,True,True,True,True,True,True,1.47,2.307,0.715,3.899,True,pass_all,1.543824427480916,0.6275743471851458,140.49045801526717,34.969102631018785,0.0971363961972744,,True,False,False,False,Quantification data not confident due to line of sight not allowing for full visualization of the leak 
35,3,36,2024-09-13,False,True,True,True,True,True,True,308.2,468.1,392.5,543.7,True,pass_all,2.67427397260274,1.012138708774969,216.13538356164383,41.67495741921952,0.1157637706089431,,True,False,False,False,
36,3,37,2024-09-13,False,True,True,True,True,True,True,20.18,8.473,6.732,10.214,True,pass_all,3.288903846153846,0.923590181277851,111.96692307692304,24.86842752602163,0.06907896535006,,True,False,False,False,
37,4,38,2024-09-16,False,True,True,True,True,True,True,0.57,2.801,1.02,4.582,True,pass_all,1.8377769784172664,0.7719390796264768,117.00691366906474,31.96963657159024,0.0888045460321951,,True,False,False,False,Quantification data not confident due to line of sight not allowing for full visualization of the leak 
38,4,39,2024-09-16,False,True,True,True,True,True,True,56.7,93.405,64.318,122.492,True,pass_all,2.3282517482517484,0.8150086275230851,153.14233566433566,52.08982636981349,0.1446939621383708,,True,False,False,False,
39,4,40,2024-09-16,False,True,True,True,True,True,True,11.17,12.78,7.358,18.202,True,pass_all,2.6846619718309856,0.9659190375255268,284.10807042253526,40.3051486154994,0.111958746154165,,True,False,False,False,
40,4,41,2024-09-16,False,True,True,True,True,True,True,28.71,44.61,25.631,63.589,True,pass_all,2.4931134751773047,0.8928645721352513,270.2587092198582,39.89171074329978,0.1108103076202771,,True,False,False,False,
